Layer,Component,AWS_Icon,Label,Position_X,Position_Y,Width,Height,Background_Color,Notes
Background,OnPremise_Background,Rectangle,"オンプレミス環境\nOn-Premise Infrastructure",50,150,400,800,#F5F5F5,"グレー背景、枠線 #CCCCCC"
Background,VPC_Background,Rectangle,"AWS VPC (10.0.0.0/16)\nRegion: ap-northeast-1",520,150,1400,1400,#FFF7E6,"オレンジ背景、枠線 #FF9800"
Background,Lambda_Group,Rectangle,"Lambda Functions (ARM64 Graviton2)",600,650,1200,250,#FFFDE7,"黄色背景、点線枠 #FBC02D"
OnPremise,NAS,Traditional_Server,"🗄️ NAS Server\nSMB/NFS共有\n容量: 500GB\nファイル数: 1,000,000\nIP: 192.168.1.100",150,220,100,100,#E3F2FD,"オンプレミスストレージ"
OnPremise,DataSync_Agent,DataSync_Agent,"📡 DataSync Agent\n増分検出エージェント\nversion: 1.0.52",150,380,80,80,#FFF3E0,"オンプレミス側エージェント"
OnPremise,VPN_Router,Customer_Gateway,"🔒 VPN Router\nCustomer Gateway\nCisco ASA 5506\nPublic IP: xxx.xxx.xxx.xxx",150,540,80,80,#F3E5F5,"オンプレミス側VPN"
AWS_Network,Virtual_Private_Gateway,Virtual_Private_Gateway,"🌐 Virtual Private Gateway\nSite-to-Site VPN\n⏰ 月4時間のみ接続\n接続時間: 2:00-6:00 (月1日)",600,250,80,80,#E8EAF6,"AWS側VPNゲートウェイ"
AWS_Transfer,AWS_DataSync,DataSync,"📦 AWS DataSync\n増分同期: 20GB/月\n転送レート: 100Mbps\n転送時間: 約3時間\nフィルター: 変更ファイルのみ",850,250,80,80,#E0F2F1,"データ同期サービス"
AWS_Storage,S3_Bucket,S3,"🪣 S3 Bucket\ncis-filesearch-metadata\nIntelligent-Tiering\n\n容量内訳:\n- 抽出テキスト: 40GB\n- 画像特徴量: 10GB\n- サムネイル: 30GB\n- ログ: 20GB\n合計: 100GB",1150,250,100,100,#FF9800,"S3ストレージ"
AWS_Batch,Step_Functions,Step_Functions,"⚙️ Step Functions\nMonthlyBatchSyncWorkflow\n\n実行頻度: 月1回\n実行時間: 5-6時間\nステップ数: 8",700,500,100,100,#FFF9C4,"ワークフローオーケストレーション"
AWS_Lambda,VPNManager,Lambda,"λ VPNManager\nRuntime: Python 3.11\nMemory: 512MB\nARM64\n\n機能:\n- VPN接続制御\n- 接続監視\n- タイムアウト管理",650,700,70,70,#9C27B0,"VPN制御Lambda"
AWS_Lambda,FileScanner,Lambda,"λ FileScanner\nRuntime: Node.js 20\nMemory: 1024MB\nARM64\n\n機能:\n- S3全スキャン\n- 新規/更新検出\n- メタデータ収集",800,700,70,70,#9C27B0,"ファイルスキャンLambda"
AWS_Lambda,TextExtractor,Lambda,"λ TextExtractor\nRuntime: Python 3.11\nMemory: 2048MB\nARM64\n\n機能:\n- PDF解析 (pdf-parse)\n- Docuworks解析\n- 月5,000実行",950,700,70,70,#9C27B0,"テキスト抽出Lambda"
AWS_Lambda,ImageFeatureExtractor,Lambda,"λ ImageFeatureExtractor\nRuntime: Python 3.11\nMemory: 2048MB\nARM64\n\n機能:\n- ResNet-50推論\n- 512次元特徴量\n- 月2,000実行",1100,700,70,70,#9C27B0,"画像特徴抽出Lambda"
AWS_Lambda,BulkIndexer,Lambda,"λ BulkIndexer\nRuntime: Node.js 20\nMemory: 1024MB\nARM64\n\n機能:\n- OpenSearch Bulk API\n- DynamoDB一括更新\n- エラーハンドリング",1250,700,70,70,#9C27B0,"一括インデックスLambda"
AWS_API,SearchAPI,Lambda,"λ SearchAPI\nRuntime: Node.js 20\nMemory: 512MB\nARM64\n\nエンドポイント:\nPOST /api/search\n\n月10,000実行",1550,250,80,80,#9C27B0,"検索APILambda"
AWS_Search,OpenSearch,OpenSearch,"🔍 OpenSearch Service\nInstance: t3.small.search\nvCPU: 2, RAM: 2GB\nStorage: 50GB gp3\n\nPlugins:\n- analysis-kuromoji (日本語)\n- k-NN (画像類似検索)\n\nIndex:\n- files_index (1M docs)\n\n検索方式:\n- 全文検索 (形態素解析)\n- ベクトル検索 (HNSW)",1550,450,100,100,#4CAF50,"検索エンジン"
AWS_Database,DynamoDB,DynamoDB,"🗂️ DynamoDB\nPricing: On-Demand\n\nTables:\n- file_metadata (5GB)\n- sync_jobs (100MB)\n\nRead: 100 RCU/月\nWrite: 50 WCU/月",1550,700,80,80,#2196F3,"NoSQLデータベース"
AWS_Orchestration,EventBridge,EventBridge,"⏰ EventBridge\nRule: MonthlyBatchTrigger\n\nCron式:\ncron(0 2 1 * ? *)\n\n実行日時:\n毎月1日 深夜2時 (JST)",650,1000,80,80,#FF5722,"イベントスケジューラー"
AWS_Orchestration,SNS,SNS,"📧 Amazon SNS\nTopic: BatchNotifications\n\nSubscribers:\n- 管理者メール × 5\n\n通知内容:\n- バッチ成功/失敗\n- 処理時間\n- エラー詳細",850,1000,80,80,#E91E63,"通知サービス"
AWS_Monitoring,CloudWatch,CloudWatch,"📊 CloudWatch\n\nLogs:\n- /aws/lambda/* (6ロググループ)\n- 保存期間: 30日\n- 容量: 2GB/月\n\nMetrics:\n- Lambda実行時間\n- VPN接続ステータス\n- OpenSearchレイテンシ\n\nAlarms:\n- バッチ失敗\n- VPN接続失敗\n- ディスク使用率 > 80%",1050,1000,80,80,#00BCD4,"監視・ログ管理"
User_Layer,User,User,"👤 ユーザー\n対象: 社内50名\nアクセス: Web UI\n認証: Azure AD SSO",1700,50,60,60,#FFFFFF,"エンドユーザー"
User_Layer,NextJS_Frontend,ECS,"⚛️ Next.js Frontend\nECS Fargate\nvCPU: 0.25, RAM: 0.5GB\n\nFramework: Next.js 15\nTypeScript + Tailwind CSS\n\n機能:\n- 検索UI\n- フィルター/ソート\n- プレビュー",1500,50,80,80,#03A9F4,"フロントエンド"
Annotation,Legend,Rectangle,"凡例 (Legend)\n━━━ 青色実線: バッチ同期フロー\n━━━ オレンジ実線: データ転送\n━━━ 緑色実線: 検索フロー\n- - - 青色点線: VPN接続（月4時間）\n··· シアン点線: 監視ログ",1700,1450,200,120,#FFFFFF,"凡例、枠線 #9E9E9E"
Annotation,Cost_Summary,Rectangle,"💰 月額コスト: $47.24/月\n\nOpenSearch: $31.46 (66.7%)\nDataSync: $5.00 (10.6%)\nCloudWatch: $4.00 (8.5%)\nS3: $2.18 (4.6%)\nLambda: $1.35 (2.9%)\nその他: $3.25 (6.7%)\n\n削減率: 96% (Pattern 2比)",50,1450,400,120,#E8F5E9,"コストサマリー、枠線 #4CAF50"
Annotation,Version_Info,Text,"Version: 1.0\nCreated: 2025-01-18\nAuthor: CIS Project Team\nStatus: Production Ready",1700,1300,200,50,#FFFFFF,"バージョン情報"
